:START_ID(Lexicon-ID) lang :END_ID(Node-ID)
870 fr 4374
871 fr 4382
872 fr 4387
873 fr 4388
874 fr 4392
875 fr 4405
876 fr 4424
877 fr 4433
878 fr 4436
879 fr 4441
880 fr 4445
881 fr 4446
882 fr 4452
883 fr 4456
884 fr 4459
885 fr 4466
886 fr 4467
887 fr 4470
888 fr 4471
889 fr 4474
890 fr 4476
891 fr 4484
892 fr 4489
893 fr 4491
894 fr 4493
895 fr 4494
896 fr 4495
897 fr 4496
898 fr 4497
899 fr 4498
900 fr 4499
901 fr 4513
902 fr 4515
903 fr 4520
904 fr 4528
905 fr 4532
906 fr 4537
907 fr 4538
908 fr 4549
909 fr 4559
910 fr 4568
911 fr 4575
912 fr 4582
913 fr 4586
914 fr 4595
915 fr 4597
916 fr 4614
917 fr 4624
918 fr 4625
919 fr 4627
920 fr 4630
921 fr 4637
922 fr 4652
923 fr 4661
924 fr 4665
925 fr 4670
926 fr 4671
927 fr 4686
928 fr 4698
929 fr 4700
930 fr 4705
931 fr 4708
932 fr 4711
933 fr 4713
934 fr 4716
935 fr 4720
936 fr 4721
937 fr 4723
938 fr 4736
939 fr 4760
940 fr 4761
941 fr 4762
942 fr 4764
943 fr 4767
944 fr 4768
945 fr 4777
946 fr 4782
947 fr 4792
948 fr 4817
949 fr 4822
950 fr 4834
951 fr 4843
952 fr 4847
953 fr 4865
954 fr 4874
955 fr 4904
956 fr 4909
957 fr 4915
958 fr 4928
959 fr 4930
960 fr 4946
961 fr 4947
962 fr 4949
963 fr 4950
964 fr 4954
965 fr 4955
966 fr 4956
967 fr 4957
968 fr 4960
969 fr 4961
970 fr 4962
971 fr 4965
972 fr 4969
973 fr 4972
974 fr 4982
975 fr 4985
976 fr 4995
977 fr 4999
978 fr 5003
979 fr 5004
980 fr 5024
981 fr 5025
982 fr 5029
983 fr 5039
984 fr 5040
985 fr 5045
986 fr 5056
987 fr 5069
988 fr 5072
989 fr 5093
990 fr 5113
991 fr 5114
992 fr 5117
993 fr 5134
994 fr 5137
995 fr 5142
996 fr 5146
997 fr 5164
998 fr 5170
999 fr 5171
1000 fr 5172
1001 fr 5182
1002 fr 5191
1003 fr 5198
1004 fr 5202
1005 fr 5206
1006 fr 5219
1007 fr 5221
1008 fr 5222
1009 fr 5233
1010 fr 5238
1011 fr 5243
1012 fr 5250
1013 fr 5255
1014 fr 5257
1015 fr 5259
1016 fr 5271
1017 fr 5275
1018 fr 5279
1019 fr 5280
1020 fr 5285
1021 fr 5286
1022 fr 5292
1023 fr 5293
1024 fr 5300
1025 fr 5301
1026 fr 5302
1027 fr 5317
1028 fr 5320
1029 fr 5321
1030 fr 5322
1031 fr 5324
1032 fr 5329
1033 fr 5332
1034 fr 5338
1035 fr 5351
1036 fr 5363
1037 fr 5375
1038 fr 5380
1039 fr 5381
1040 fr 5383
1041 fr 5386
1042 fr 5389
1043 fr 5394
1044 fr 5400
1045 fr 5407
1046 fr 5414
1047 fr 5416
1048 fr 5417
1049 fr 5421
1050 fr 5425
1051 fr 5427
1052 fr 5431
1053 fr 5433
1054 fr 5449
1055 fr 5453
1056 fr 5454
1057 fr 5467
1058 fr 5468
1059 fr 5471
1060 fr 5477
1061 fr 5481
1062 fr 5482
1063 fr 5490
1064 fr 5499
1065 fr 5500
1066 fr 5502
1067 fr 5504
1068 fr 5506
1069 fr 5507
1070 fr 5513
1071 fr 5527
1072 fr 5529
1073 fr 5533
1074 fr 5535
1075 fr 5552
1076 fr 5563
1077 fr 5565
1078 fr 5571
1079 fr 5575
1080 fr 5580
1081 fr 5582
1082 fr 5586
1083 fr 5587
1084 fr 5591
1085 fr 5594
1086 fr 5595
1087 fr 5596
1088 fr 5611
1089 fr 5622
1090 fr 5624
1091 fr 5630
1092 fr 5632
